;reasons_translation_sentimentCategory;reasons_translation_sadnessCategory;reasons_translation_joyCategory;reasons_translation_fearCategory;reasons_translation_disgustCategory;reasons_translation_angerCategory;emotions_translation_sentimentCategory;emotions_translation_sadnessCategory;emotions_translation_joyCategory;emotions_translation_fearCategory;emotions_translation_disgustCategory;emotions_translation_angerCategory;strengths_translation_sentimentCategory;strengths_translation_sadnessCategory;strengths_translation_joyCategory;strengths_translation_fearCategory;strengths_translation_disgustCategory;strengths_translation_angerCategory;utilization_translation_sentimentCategory;utilization_translation_sadnessCategory;utilization_translation_joyCategory;utilization_translation_fearCategory;utilization_translation_disgustCategory;utilization_translation_angerCategory;story_translation_sentimentCategory;story_translation_sadnessCategory;story_translation_joyCategory;story_translation_fearCategory;story_translation_disgustCategory;story_translation_angerCategory
11;0,3179;0,1696;0,7081;0,5325;0,7081;0,3179;0,134;0,5325;0,2118;0,1696;0,3179;1,0;0,0609;0,3822;0,0176;0,0245;0,3822;0,0176;0,5325;0,8029;0,2611;0,1696;0,3822;0,7081;0,8029;0,3822;0,3179;0,1696;0,0087;0,2611
12;0,8003;0,0576;1,0;0,3116;0,8994;0,613;0,1;0,448;0,2059;0,376;0,5272;0,448;0,0576;0,3116;0,2059;0,376;0,1;0,448;0,164;0,5272;0,7044;0,164;0,3116;0,613;0,5272;0,0113;0,1289;0,0428;0,0;0,0161
13;0,2719;0,2222;0,7143;0,1793;0,0145;0,3288;0,1793;1,0;0,5417;0,2719;0,0378;0,5417;0,464;0,2222;0,6254;0,6254;0,464;0,464;0,2719;0,7143;0,464;0,5417;0,1429;0,464;0,2719;0,5417;0,9029;0,7143;0,8072;0,7143
14;0,8409;0,3154;0,8409;0,2034;0,3843;0,7379;0,7379;0,7379;0,9466;0,2551;0,547;0,9466;0,7379;0,9466;0,7379;0,8409;0,8409;0,3154;0,0941;0,3843;0,1236;0,2034;0,7379;0,547;0,0378;0,8409;0,0521;0,7379;0,8409;0,4616
15;0,6439;0,9473;0,7412;0,5522;0,7412;0,4675;0,3905;0,8429;0,4675;0,8429;0,4675;0,3217;0,8429;0,6439;0,5522;0,6439;0,6439;0,7412;0,0099;0,6439;0,1653;0,8429;0,9473;0,9473;0,0044;0,8429;0,0404;0,5522;0,7412;0,7412
16;0,7587;0,5803;0,0969;0,4991;0,3566;0,7587;0,1243;0,1574;0,1243;0,1574;0,8538;0,8538;0,951;0,5803;0,1968;0,2429;0,4991;0,3566;0,6671;0,2429;0,4244;0,1968;0,5803;0,7587;0,8538;0,1968;0,5803;0,0424;0,0228;0,0424
17;0,4931;0,784;0,891;0,784;0,6809;0,6809;0,3372;0,2727;0,784;0,784;0,784;0,4108;0,2727;0,2727;0,4931;0,0196;0,4931;0,891;0,6809;0,4108;0,4931;0,5835;0,891;0,4108;0,6809;0,2727;0,784;0,0396;0,0039;0,0396
18;0,3572;0,0084;0,1143;0,2927;0,1478;0,1478;0,1478;0,7925;0,43;0,2927;0,5108;0,1478;0,0654;0,7925;0,0654;0,7925;0,43;0,2927;0,2927;0,0483;0,0654;0,0024;0,0352;0,0352;0,7925;0,0;0,0006;0,0;0,0;0,0
19;0,5669;0,0484;0,8486;0,2266;0,5669;0,2266;0,7504;0,484;0,8486;0,484;0,5669;0,2793;0,0856;0,7504;0,2793;0,3398;0,4081;0,484;0,8486;0,0484;0,0856;0,0011;0,1432;0,0648;0,7504;0,0;0,0027;0,0;0,0;0,0
20;0,3308;0,0443;0,7459;0,9483;0,1049;0,2704;0,65;0,4758;0,5596;0,218;0,65;0,7459;0,7459;0,3308;0,218;0,7459;0,2704;0,3994;0,9483;0,8458;0,65;0,3994;0,9483;0,7459;0,8458;0,0023;0,0001;0,0006;0,0;0,0
